,,,,,,,,
,,,,Red Nacional de Acelerografos de Colombia,,,,
,,,,,,,,
Parametros de Consulta,,,,,,,,
Fecha Incial,01/06/1993,Municipio,15/01/2018,,,,,
Latitud Minima,-5,Latitud Maxima,14,,,,,
Longitud Minima,-90,Longitud Maxima,-66,,,,,
Magnitud Minima,6,Magnitud Maxima,9,,,,,
Profundidad Minima,0,Profundidad Maxima,700,,,,,
Total Registros,25,,,,,,,
,,,,,,,,
Sismicidad Registrada,,,,,,,,
Fecha,Hora_UTC,Departamento,Municipio,Latitud(Grados),Longitud(Grados),Profunidad(Km),Magnitud(Ml),Magnitud(Mw)
1994/06/06,20:47:39,CAUCA,PAEZ,2.85,-76.07,1,6.4,
1994/09/13,10:01:34,ANTIOQUIA,MUTATA,7.246,-76.707,28.3,6.4,
1994/12/10,15:24:22,SANTANDER,ZAPATOCA,6.77,-73.258,150,6.1,
1995/01/19,15:02:59,BOYACA,PAEZ,5.034,-72.952,0,6.6,
1995/01/22,10:41:29,BOYACA,PAEZ,5.081,-72.91,0,6,
1995/02/08,18:40:25,VALLE DEL CAUCA,CALIMA,4.13,-76.74,102,6.6,
1995/08/19,21:43:33,CALDAS,RISARALDA,5.133,-75.713,120.9,6.5,
1995/10/03,01:51:24,ZONA GEOGRAFICA ESPECIAL,LA FRONTERA CON ECUADOR,-2.8066,-77.9515,4.9,6.9,
1996/11/04,17:24:56,CHOCO,RIOSUCIO,7.478,-77.518,0,6.1,
1997/06/11,19:10:00,SANTANDER,LOS SANTOS,6.848,-73.053,170,6.2,
1997/06/11,07:07:39,SANTANDER,CEPITA,6.83,-72.97,160,6.1,
1997/09/02,12:13:22,QUINDIO,GENOVA,3.958,-75.866,230,6.8,
1997/12/11,07:56:30,QUINDIO,GENOVA,3.98,-75.943,207.5,6.5,
1998/08/04,18:59:18,ZONA GEOGRAFICA ESPECIAL,EL OCEANO PACIFICO,-.5474,-80.5341,3.5,6.2,
1999/01/25,18:19:18,QUINDIO,CORDOBA,4.439,-75.698,0,6.3,
1999/11/08,05:51:20,SANTANDER,ZAPATOCA,6.866,-73.185,164.2,6.2,
2000/02/05,21:52:07,SANTANDER,VILLANUEVA,6.769,-73.206,160,6,
2001/09/22,03:23:39,VALLE DEL CAUCA,TULUA,3.989,-76.085,180,6,
2004/02/20,11:15:52,LA GUAJIRA,RIOHACHA,11.528,-73.315,35.8,6,
2004/11/15,09:06:57,CHOCO,BAJO BAUDO,4.768,-77.724,26.2,6.7,
2007/05/06,04:47:14,SANTANDER,LOS SANTOS,6.819,-73.053,151.4,6,
2007/09/10,01:49:10,ZONA GEOGRAFICA ESPECIAL,GORGONA,2.927,-78.212,4,6.2,
2012/09/30,16:31:33,CAUCA,LA VEGA,1.973,-76.558,172,6.4,7.1
2013/02/09,14:16:06,NARINO,GUAITARILLA,1.113,-77.561,162.8,6.4,7
2015/03/10,20:55:44,SANTANDER,LOS SANTOS,6.825,-73.134,157.7,6.3,6.4
